country,year,GDP_per_capita,data_percent
Ecuador,2003,8625.79,12.49
Ecuador,2004,9178.42,12.8
Ecuador,2005,9503.69,11.74
Ecuador,2006,9757.38,9.83
Ecuador,2007,9805.65,9.9
Ecuador,2008,10257.4,9.84
Ecuador,2009,10148.87,11.09
Ecuador,2010,10340.97,11.12
Ecuador,2011,10984.28,10.1
Ecuador,2012,11431.38,10.06
Ecuador,2013,11818.59,7.12
Egypt,2003,8007.65,8.35
Egypt,2004,8184.07,8.73
Egypt,2005,8397.03,8.76
Egypt,2006,8814.15,9.27
Egypt,2007,9274.98,9.32
Egypt,2008,9763.5,9.48
Egypt,2009,10031.03,9.42
Egypt,2010,10340.07,8.78
Egypt,2011,10302.44,8.42
Egypt,2012,10301.11,8.76
Egypt,2013,10290.19,8.29
